"Маркет","Код","Название","Название","Город","Адрес"
"М01","T001","ТОШ. МЕГА","MegaPlanet","Tashkent","г.Ташкент Юнусабадский р-н кварта-11 ул.Ахмад Дониш д.2Б"
"М02","T002","ТОШ. ТОШМИ","ToshMI","Tashkent","г.Ташкент Алмазарский р-н ул.Фаробий д.448А"
"М03","T003","ТОШ. САЕХАТ","Sayohat","Tashkent","г.Ташкен М-Улугбекский р-н ул.Буюк ипак Йули д.123"
"М04","T004","ТОШ. САМПИ","SamPI","Tashkent","г.Ташкент М-Улугбекский р-н ул.Т.Малик д.2А"
"М05","T005","ТОШ. КОРАТОШ","Qoratosh","Tashkent","г.Ташкент Шайхантохурский р-н ул.Кораташ д.5А"
"М06","T006","ТОШ. ГЛИНКА","Glinka","Tashkent","г.Ташкент Мирабадский р-н ул.Нукусс д.83А"
"М07","T007","ТОШ. ЧИЛОНЗОР","Chilonzor","Tashkent","г.Ташкент Чиланзарский р-н ул.Чиланзар д.55"
"М08","T008","ТОШ. ФАРГОНА","Qoraqamish","Tashkent","г.Ташкент Алмазарский р-н ул.Кара-Камыш-2 д.1"
"М11","T011","ТОШ. ЮНУСОБОД","Yetti Chinor","Tashkent","г.Ташкент Юнусабадский р-н пересечение ул.А.Дониш и Етти чинор д.26"
"М15","T015","ТОШ. КАТОРТОЛ","Qatortol","Tashkent","г.Ташкент Чиланзарский р-н ул.Катартал д.60"
"М18","T016","ТОШ. НОВЗА","Meram","Tashkent","г.Ташкент Чиланзарский р-н ул.Мукимий д.1А"
"М20","AN03","АНД. ПУШКИН","Andijon Pushkin","Andijon","г.Андижан ул.Амир Умархон д.24 (ПУШКИН)"
"М21","T017","ТОШ. КИБРАЙ","Qibray","Qibray","Ташкентская область, Кибрайский р-н Кибрай ШФЙ"
"М22","AN04","АНД. АСАКА","Asaka","Asaka","г.Андижан ул.Умид д.49 (АСАКА)"
"М23","T018","ТОШ. КОРАСУВ","Qorasuv","Tashkent","г.Ташкент М-Улугбекский р-н ул.Гете д.50 (КОРА-СУ)"
"М25","T019","ТОШ. ШТАБ","Shtab","Tashkent","г.Ташкент Учтепинский р-н ул.Бешкайрагоч д.102 (ШТАБ)"
"М29","T021","ТОШ. ЧИРЧИК 1","Chirchiq","Chirchiq","Ташкентская область г.Чирчик на развилке ул.Халк бирлиги и И.В.Кодирова"
"М34","T023","ТОШ. КУЙЛЮК","Qo‘yliq","Tashkent","г.Ташкент Мирабадский р-н ул.Одоблик дом 2"
"М35","T024","ТОШ. НОВОМОСК","Novomoskovskaya","Tashkent","г.Ташкент М.Улугбекский р-н ул.Осиё д.1"
"М37","T025","ТОШ. БАШЛИК","Boshliq EXPRESS","Tashkent","г.Ташкент Яккасарайский р-н масс.Башлик между д.5 и 10"
"М38","T026","ТОШ. ИБН СИНО","Ibn-Sino EXPRESS","Tashkent","г.Ташкент Шайхантохурский р-н ул.Жарарык, территория парка ""Ибн-сино"""
"М40","T027","ТОШ. ЮНУСОБОД","Yunusobod EXPRESS","Tashkent","г.Ташкент Юнусабадский р-н ул.Уч Кахраман"
"М42","T028","ТОШ. ОХУНБОБОЕВ","Ohunboboyev","Tashkent","г. Ташкент, Алмазарский р-н, ул Келес Йули, 166"
"М43","T029","ТОШ. ЯНГИЮЛЬ","Yangiyo‘l","Yangiyo‘l","Таш. Обл. Янгиюльский р-н, ул. Самаркандская, 171"
"М47","FA05","ФАР. БУВАЙДА","Buvayda","Buvayda","Ферганская обл. ул. Янгикурган (ориентир: кинотеатр Ёшлик)"
"М49","FA06","ФАР. РИШТОН","Rishton","Rishton","Ферганская обл., г. Риштан. ул. Б. Рашидоний, бывш. Здание ЦУМа"
"М50","T031","ТОШ. МВД","MVD","Tashkent","г.Ташкент, Яккасарайский р-н, ул. ЮНУСА РАДЖАБИ, 1. ."
"М51","AN07","АНД. ИЗБОСГАН","Izboskan","Paytug","Андижанская обл. Избасканский р-н, г. Пайтуг, ул. Накшбанд, дом 5"
"М53","T033","ТОШ. ЧИРЧ.ЦЕНТР","        Chirchiq 2","Chirchiq","Ташкентская область г. Чирчик улица П. Юсупова"
"М54","AN08","АНД. ХОНОБОД","Xonobod","Andijon","Андижанская обл., г. Хонобод Умар Шайх Мирзо 1 А"
"М55","T034","ТОШ. ЭСКИ ШАХАР","   Eski shahar","Tashkent","г. Ташкент, ул. Алмазарский р-н, Нурафшан, 7"
"М56","T035","ТОШ. КОМПАС","      Compass     ","Tashkent","г. Ташкент, Бектемирский Район, ТКАД, 17, ТРЦ Compass. Ориентир: мост Куйлюк."
"М57","T036","ТОШ. СЕВЕРНЫЙ ВОКЗАЛ","City Parking","Tashkent","г.Ташкент, Мирабадский район, ул.Туркистон, 12А"
"М58","T037","ТОШ. ОКТЕПА","Oq Tepa","Tashkent","г.Ташкент, Шайхонтохурский район, ул. Нурафшон обводная. Ориентир: кафе Санаткор"
"М59","T038","ТОШ. ЭКОПАРК","Ecopark","Tashkent","г.Ташкент, Центральный экопарк. Ориентир: напротив Римско-Католического Центра(Костёл)"
"М60","QA02","КАШ. ШАХРИСАБЗ","Shahrisabz","Shahrisabz","г.Шахрисабз, Хабарлик МФЙ, ул.Ипак Йули"
"М61","T039","ТОШ. ТАШСЕЛЬМАШ","Tashselmash","Tashkent","г.Ташкент, Яшнабадский район Ул. Махтумкули. Ориентир: Техномарт."
"М62","QA03","КАШ. КАРШИ 2","Karshi","Karshi","г.Карши, ул.Остон Турсунов, дом 3"
"М63","T040","ТОШ. РИВЬЕРА","Riviera","Tashkent","г.Ташкент, пересечение ул.Нурафшон и Ахмада Дониша (массив Себзар)"
"М64","FA07","ФАР. ОЛТИАРИК","Oltiariq","Fergana","Ферганская область г.Алтыарык ул.Мустакиллик, дом 6. Ориентир: здание бывшего кинотеатра"
"М65","T041","ТОШ. АНХОР ЛОКОМОТИВ","Anhor Lokomotiv","Tashkent","г.Ташкент, ул. Лабзак, 12/1, Шайхантаурский р-н. Ориентир: Лабзак, парк Anhor Lokomotiv"
"М66","T042","ТОШ. МАСТЕР БЕКЕРИ","Мастер Бекери","Tashkent","г.Ташкент ,Сергелинский район ул. Содикжона Толипова,1А"
